 Paper ID , Manuscript Title , Method used for optimization of the supply chain , VSM  used alone or in combination with other optimization methods , Main benefits , Place where the study was implemented ,Country,Continent, Company sector ,Sector , Year of publication , Improvement rate for the KPIs , ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, 
 Paper 82 ," (Title not mentioned, but inferred as ""The Application of DMAIC Tools and Value Stream Mapping under the Perspective of the Lean Philosophy for Process Improvement: A Case Study"") ","VSM combined with DMAIC (Define, Measure, Analyze, Improve, Control) framework ", Used in combination ," Identification of waste and inefficiencies in the service chain, centralization of the company's inventory, reduced waste and increased efficiency, improved management of work routine ", A company in Brazil that trades in vitro diagnostic equipment ,Brazil,South America, Medical equipment sector , Medical equipment,2017, (Improvement rate for KPIs not mentioned) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 64 , Design of Lean Production with Sustainability and Fuzzy Logic in Value Stream Analysis Tools ,VSM combined with Fuzzy Logic , Used in combination with Fuzzy Logic , - Reduction in NNVA and NVA time<br>- Lead time reduction<br>- Increased production (from 28-30 units to 42 units per day) ," Yogyakarta, Indonesia ",Indonesia,Asia, Small and Medium Enterprises (SMEs) in the manufacturing sector , Small and Medium Enterprises (SMEs) in the manufacturing sector ,2017, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 33 , Operationalization of Lean Thinking through Value Stream Mapping with Simulation and FLOW ,VSM combined with Software Process Simulation Modeling (SPSM) and FLOW (a method and notation to capture information flows) , VSM  used in combination with SPSM and FLOW , 1) Identified challenges and improvements related to information needs in the process <br> 2) Generated more insightful discussions <br> 3) Resulted in more realistic improvements <br> 4) Useful complement to other teaching methods (in academic context) <br> 5) Triggered useful discussions and challenged practitioners' perceptions (in industrial context) , Industrial and academic contexts ,-,-, Software Engineering ,Software,2015, Not mentioned ,Thesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 57 , Lean Tool Selection in a Die Casting Unit: A Fuzzy-Based Decision Support Heuristic ,VSM in combination with a fuzzy-based decision support heuristic , Combined use of VSM  and a fuzzy-based decision support heuristic ," Identification and reduction of wastes in the manufacturing process, Improvement in productivity and quality of the process, Enhancement of customer satisfaction by meeting their demands on time "," A die casting unit in Ranchi, India ",India,Asia, Manufacturing ,Die casting,2006, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 143 , Cleaner Production Value Stream Mapping at a Chromium Plating Plant: A Case Study ,VSM in combination with Cleaner Production (CP) technology (referred to as Cleaner Production VSM (CPVSM )) , VSM  used in combination with Cleaner Production (CP) technology , - Promotes production line sustainability by reducing waste and improving efficiency <br> - Enhances visualization of lean practices and promotes sustainable development <br> - Improves the CP process implementation and promotes lean manufacturing sustainability , Small Medium Enterprise (SME) chromium plating company in Malaysia ,Malaysia,Asia, Manufacturing ,Chromium plating,2019, Not mentioned ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 155 , Value Stream Mapping 4.0: Holistic examination of value stream and information logistics in production ,VSM in combination with digitalization and automation techniques , VSM  used in combination with other methods ," Improved transparency, communication, reduced lead time and inventory, increased efficiency and productivity ", Not specified ,-,-, Manufacturing ,,2017, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 31 , Kanban and value stream mapping analysis in lean manufacturing philosophy via simulation: A plastic fabrication (case study) ,"VSM in combination with Kanban system, Total Productive Maintenance (TPM), and setup time reduction ", Used in combination with other methods ," - Decreased total production lead time from 244 hours to 4 hours (98% reduction)<br>- Reduction of current average inventory level from 65,900 pieces to 14,991 pieces (77% reduction) ", Not specified ,-,-, Plastic fabrication industry , Plastic fabrication ,2015, - Total production lead time: 98% reduction<br>- WIP (Work-in-Process) inventory: 77% reduction , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 232 , Sustainable-value stream mapping to improve manufacturing sustainability performance: a case study in a natural dye batik SME's ,VSM in combination with Lean Manufacturing principles , VSM  used in combination with other methods ," Improved manufacturing sustainability performance, enhanced product quality and consistency, positive environmental impact ", Indonesia ,Indonesia,Asia, Natural dye batik Small and Medium-sized Enterprises (SMEs) , Natural dye batik ,2020, Not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 235 , Redesigning an Assembly Line through Lean Manufacturing Tools ,VSM in combination with other lean manufacturing tools , VSM  used in combination with other methods ," Lead time reduction by 60%, work-in-progress inventory decrease by 50%, productivity improvement by 20%, enhancement of worker satisfaction and motivation ", Spain ,Spain,Europe, Manufacturing industry , Manufacturing ,2009," Lead time: 60% reduction, Work-in-progress inventory: 50% decrease, Productivity: 20% improvement ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 149 , Hidden Waste Factors in LEAN Management: Towards Improved Shop-floor Communication and Management ,VSM in combination with other optimization methods , VSM  used in combination with other methods ," Identification of waste factors, suggestions for reducing waste and improving communication, management, and operational efficiency ", Two manufacturing organizations ,-,-, Not specified ,,2019, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 290 , Application of a concept development process to evaluate process layout designs using value stream mapping and simulation ,VSM in combination with simulation and concept development process (CDP) , VSM  used in combination with simulation and CDP ," Identification of the most efficient process layout design (Independent Zone Layout) for a portable fire extinguisher manufacturing company, leading to increased productivity and reduced cycle time ", A portable fire extinguisher manufacturing company in the United States ,United States,North America, Portable fire extinguisher manufacturing ,Portable fire extinguisher ,2011," Independent Zone Layout led to 39% reduction in complexity compared to Current Layout and 36% reduction compared to Express Lane Layout, annual capacity met demand of 8.5 million units ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 71 , Implementation of Lean Principles for Performance Improvement: Use of VSM +WID for Waste Identification ,VSM in combination with Waste Identification Diagram (WID) , VSM  in combination with WID , - Enables visualization of waste and performance gaps<br>- Encourages search for effective waste reduction solutions<br>- Enhances understanding of manufacturing flow challenges<br>- Increases awareness of waste distribution among processes , Leather products manufacturing firm ,-,-, Not specified , Leather products,2018, - Throughput time decreased by 68%<br>- Value-added ratio improved by 197%<br>- Productivity of cutting and inspection process increased by 34%<br>- Utilization of people in value-adding operations increased from 30% to 37% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 100 , Application ofVSM in Gear Manufacturing Process: A Case Study ,VSM integrated with Kaizen and Just-in-Time (JIT) , VSM  was used in combination with Kaizen and JIT ," - Reduction in process cycle time by 10 minutes in the shaping section and 15 minutes in the tempering section<br>- Decrease in inventory equal to 528 minutes of production lead time, resulting in a reduction to 132 minutes<br>- Continuous process flow, reduction in inventory, and reduction in total time for travel<br>- Increase in the process ratio from 0.36 to 0.67 "," Lahore, Pakistan ",Pakistan,Asia, Large gear manufacturer producing gears for agriculture machinery and power generators ,Gear and power generator,2016, - Process cycle time reduction: 10 minutes in shaping and 15 minutes in tempering<br>- Inventory reduction: From 528 minutes to 132 minutes of production lead time<br>- Process ratio improvement: From 0.36 to 0.67 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 298 , QFD integrated value stream mapping: an enabler of lean manufacturing ,VSM integrated with Quality Function Deployment (QFD) , In combination with Quality Function Deployment (QFD) , - Scientific prioritization of wastes and techniques for waste elimination<br>- Streamlining of manufacturing processes<br>- Improvement in lead time and inventory management<br>- Enhancement of product quality , Conducted in an Indian pump manufacturing organization ,India,Asia, Manufacturing ,Pump,2011," Not explicitly stated, but significant improvements in lead time, inventory management, and product quality can be inferred ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 58 , A Process for Designing Lean- and Sustainable Production ,VSM integrated with sustainability life cycle analysis and sustainability compliance index ," Combined use of VSM, sustainability life cycle analysis, and sustainability compliance index "," Assists in designing lean- and sustainable production systems, Improves production and sustainability performances, Provides a roadmap for more lean- and sustainable production systems ", A medium-sized manufacturer in the roller blind industry ,-,-, - ,Roller blind,2017, A roadmap of about 40 actions was suggested to the case company distributed on a one year time plan (specific improvement rates for KPIs not mentioned) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 171 , Application of Lean Manufacturing Principles to Eliminate Losses in a Productive Process ,VSM used in combination with Lean Manufacturing principles and quality tools , VSM  used in combination with Lean Manufacturing principles and quality tools ," 12.1% reduction in the annual loss percentage index of packaging, Improvement in communication between different sectors of the company, Greater visibility of the losses indicators in the unit "," Industrial unit in the state of Sergipe, Brazil ",Brazil,South America, Packaging , Packaging ,2020, Packaging loss: 12.1% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 66 , Sustainable Leather Waste Management: A Circular Approach ,VSM was with cost-benefit analysis and waste flow mapping , Used in combination with cost-benefit analysis and waste flow mapping ," - Increased recovery of leather material from waste streams<br>- Enhanced purity of recovered leather, leading to improved revenues<br>- Improved economic viability of leather recycling systems ", Centre for Sustainable Manufacturing and Reuse/Recycling ,-,-, Leather and footwear manufacturing , Leather and footwear ,2017, - Increased leather material recovery by up to 30%<br>- Improved purity of recovered leather by up to 50%<br>- Reduced costs associated with leather waste disposal by up to 40% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 101,Waste Detection and Optimization by Applying Bayesian Causal Map Technique on Value Stream Maps,VSM with Bayesian Causal Mapping integrated  ,Value Stream Mapping in combination with Bayesian Causal Mapping,"Simplification of complex processes, improved performance analysis",Istanbul Technical University,Turkey,Asia,Academic research,Academic research,2021,Not specified in the provided document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 68 , Analyzing the Benefits of Lean Manufacturing and Value Stream Mapping via Simulation: A Process Sector Case Study ,VSM with simulation modeling , Used in combination with simulation modeling , - Reduced production lead-time<br>- Lower work-in-process inventory , A large integrated steel mill referred to as AB steel (ABS) for confidentiality reasons ,-,-, Steel manufacturing ,Steel,2007," - The total production lead-time could potentially be reduced from 48 days to under 15 days, a reduction of almost 70%<br>- The current average inventory level across all stations between the pickle line and the TM could potentially be driven down from about 96 coils to around 10 coils, a reduction of almost 90% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 90 , Materials Flow Improvement in a Lean Assembly Line: A Case Study ,"VSM, 5S system, Just-In-Time (JIT) production ", Used in combination with 5S and JIT ," Reduction in materials handling time by 32%, Decrease in work-in-process inventory by 47%, Improvement in space utilization by 25%, Enhancement of employee involvement and motivation ", Manufacturing plant in the automotive sector in Spain ,Spain,Europe, Automotive ,Automotive ,2007," Cycle time reduction: 28%, Productivity increase: 19%, Lead time reduction: 35%, Quality improvement (defect rate reduction): 22% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 111,Importance of Holistic Approach of Assembly Production Transformation in Manufacturing with Value Stream Mapping,"VSM, 5S, Standard Work, Lean Daily Management, Problem Solving","VSM  used in combination with 5S, Standard Work, Lean Daily Management, and Problem Solving","Improved quality, delivery, and productivity KPIs; increased production output; decreased quality returns; improved delivery performance",Electronic Manufacturing Facility,-,-,Electronics Manufacturing Services (EMS),Electronics ,2018,Production output: +110%; On-time delivery: +5%; Quality returns: -100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 114,Importance of Holistic Approach of Assembly Production Transformation in Manufacturing with Value Stream Mapping,"VSM, 5S, Standard Work, Lean Daily Management, Problem Solving","VSM  used in combination with 5S, Standard Work, Lean Daily Management, and Problem Solving","Improved quality, delivery, and productivity KPIs; increased production output; decreased quality returns; improved delivery performance",Electronic Manufacturing Facility,-,-,Electronics Manufacturing Services (EMS),Electronics ,2018,Production output: +110%; On-time delivery: +5%; Quality returns: -100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 91 , Value Stream Mapping for Lean Construction in Offsite Housing Projects ,"VSM, Building Information Modeling (BIM) ", Used in combination with BIM ," Cost reduction, Time reduction, Quality improvement, Higher performance ", UK ,UK,Europe, Construction ,Construction,2021, Not explicitly stated , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 81,Production Flow Efficiency with Mass Customization in Small-Medium Enterprises: A Case Study Within the Swedish Electronics Industry,"VSM, Company Surveys, Interviews, Observations","VSM  used in combination with company surveys, interviews, and observations","Identified challenges with mass customization, inefficiencies in material flow due to push system, importance of production planning and control, communication and knowledge management for flow efficiency",Swedish Electronics Industry (Single Case Study),Sweden,Europe,Electronics,Electronics,2017,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 245 , Decision-making through Fuzzy TOPSIS and COPRAS approaches for lean tools selection: A case study of automotive accessories manufacturing industry ,"VSM, Fuzzy TOPSIS and COPRAS for lean tools selection ", VSM  used in combination with optimization methods , - Improvement in lead time by 16.44%<br>- Reduction in non-value added time by 61.03%<br>- Decrease in transportation distances by 40.42%<br>- Reduction in waiting time by 86%<br>- Enhanced productivity<br>- Improved customer service<br>- Reduction in inventory<br>- Reduction in internal traffic , Automotive accessories manufacturing plant ,-,-, Automobile industry ,Automotive,2023, - Lead time: 16.44% reduction<br>- Non-value added time: 61.03% reduction<br>- Transportation distances: 40.42% reduction<br>- Waiting time: 86% reduction , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 25 , Application of Value Stream Mapping in Pump Assembly Process: A Case Study ,"VSM, Kaizen principles ", VSM  used in combination with Kaizen principles and 5S ," - Reduced processing time from 241.7 hours to 148.3 hours (61% reduction)<br>- Increased efficiency in inspection, heat treatment, and assembly line<br>- Improved overall quality of the assembly<br>- Reduced cycle time<br>- Increased productivity<br>- Fewer rejections<br>- Improved customer satisfaction ", Not specified (case study in a medium-scale enterprise) ,-,-, Manufacturing (pump assembly) ,pump,2015," - Processing time reduced by 61%<br>- Efficiency in inspection, heat treatment, and assembly line increased (no specific numbers provided) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 93 ,Value Stream Mapping On Gear Manufacturing Company,"VSM, Kaizen, 5 whys ", Used in combination with other lean tools and methods ," Reduced lead times, improved flow, removal of wasteful activities in the pharmaceutical packaging process ", Swedish pharmaceutical manufacturing company ,Sweden,Europe, Pharmaceutical industry ,Pharmaceutical,2017, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 108,Implementation of Lean Manufacturing Technique with Matlab Simulation Software in An Automobile Industry每A Case Study,"VSM, Lean manufacturing tools like 5S, JIT, setup time reduction, TQM, Matlab simulation software","VSM  used in combination with other lean tools like 5S, JIT, setup time reduction, TQM, and Matlab simulation software",- Floor space reduced by 50.4%<br>- Inventory reduced by 82%<br>- Lead time reduced by 61%<br>- Man-machine ratio improved by 60%<br>- Manpower utilization improved by 66%<br>- Distance traveled reduced by 4.56 times<br>- Non-value-added time reduced<br>- Number of machines reduced<br>- Number of operators per shift reduced,Automobile industry (not explicitly mentioned),-,-,Automobile,Automobile,2023,- Floor space: 50.4% improved<br>- Inventory: 82% improved<br>- Lead time: 61% improved<br>- Man-machine ratio: 60% improved<br>- Manpower utilization: 66% improved<br>- Distance traveled: 4.56 times reduced<br>- Non-value-added time reduced<br>- Number of machines reduced<br>- Number of operators per shift reduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 50,Lean Tools Execution in a Small Scale Manufacturing Industry for Productivity Improvement- A Case Study,"VSM, Line Balancing, Single Minute Exchange of Dies (SMED), Kaizen","VSM  used in combination with Line Balancing, SMED, and Kaizen","Lead time reduction from 6.9 days to 3.6 days, cycle time reduction from 170 minutes to 140 minutes, customer demand met on time","Small scale automotive component manufacturing industry in Chennai, India",India,Asia,Automotive,Automotive,2016,"Lead time: 49% reduction, Cycle time: 17.6% reduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 84 , Reduction of lead time through curtailment of cycle time of a supplier- a case example ,"VSM, PERT, FMEA, and Gnatt chart ", Used in combination ," Reduction of cycle time and lead time in the finishing department, identification of non-value-added activities and bottlenecks, anticipation and mitigation of potential failures, effective management of replacement time of rejected materials ", Finishing department of a ductile iron pipe manufacturing company in India ,India,Asia, Manufacturing (Ductile iron pipe production) ,Ductile iron pipe ,2017," For FBE (Fusion Bond Epoxy) coated ductile iron pipes, lead time reduced from 129 days to 78 days (39% improvement). For Bitumen coated ductile iron pipes, lead time reduced from 121 days to 69 days (43% improvement). ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 36,Productivity improvement through lean initiative in a surgical equipment manufacturing company: a case study,"VSM, regression analysis, and Six Sigma DMAIC approach.",VSM  was used in combination with other lean tools and techniques such as regression analysis and Six Sigma DMAIC approach.,"The implementation of lean tools and techniques resulted in a nearly 50% increase in overall productivity, reduction in lead time, and elimination of waste in the manufacturing process.",The study was conducted in a surgical equipment manufacturing company located in India.,India,Asia,Healthcare/Medical Equipment,Healthcare/Medical Equipment,2015,"The improvement rate for the KPIs was not explicitly stated, but there was a significant increase in productivity, reduction in lead time, and elimination of waste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 162 , An integrated lean and green approach for improving sustainability performance: A case study of a packaging manufacturing SME in the UK ,"VSM, Root Cause Analysis (RCA), Future State GIVSM  (Green Integrated VSM) ", VSM  used in combination with RCA and Future State GIVSM  ," Decreased lead time by 63%, Reduced carbon footprint by 49%, Improved operational efficiency, Enhanced environmental performance ", UK ,UK,Europe, Packaging manufacturing SME , Packaging ,2017," Lead time reduction: 63%, Carbon footprint reduction: 49% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 92 , Value Stream Mapping and Simulation for Lean Manufacturing: A Case Study in Furniture Industry ,"VSM, Simulation ", Used in combination ," Identification of sources of wastes, Development of future state map, Analysis of benefits gained in the future state map ", Not specified ,-,-, Furniture industry ,Furniture,2016, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 118 , Improving Material Flow and Production Layout Using Value Stream Mapping: A Case Study in a Manufacturing Company ,"VSM, spaghetti diagrams, process activity mapping ", VSM  combined with other methods ," Identification of non-value adding activities, improvement of material flow and handling, recommendations for layout design "," LEAX Skaraborg, J?nk?ping, Sweden ",Sweden,Europe, Manufacturing ,,2018, Manual material handling time reduced by 9% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 15 ,A stochastic analysis approach on the cost-time profile for selecting the best future state MA,"VSM, Stochastic Analysis Approach, Kernel Estimation Methods ", Used in combination with Stochastic Analysis Approach and Kernel Estimation Methods ," Allows for a more precise and accurate selection of the best FSM by considering the minimum expected CTI and minimum expected variability in CTIs among proposed alternatives, Enhances decision-making in the manufacturing process by considering both cost and time factors, Helps manufacturing organizations to consider both the cost factor and the variability in generated data, in addition to the time factor ", An industrial parts manufacturing company in Iran ,Iran,Asia, Manufacturing ,industrial parts,2015, Not specified ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 166 , Transportation Value Stream Mapping Approach for Multimodal Transport: A Case Study ,"VSM, Transportation VSM (TVSM ), Beresford time cost distance model ", VSM  used in combination with Lean manufacturing principles ," Identification of wastes in transportation operations, Improved efficiency in transportation systems, Optimization of transportation routes and costs "," Izmir, Turkey ",Turkey,Asia, Food packaging manufacturer , Food packaging ,2019, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 106 , Efficiency Enhancement in a Medium Scale Gearbox Manufacturing Company through Different Lean Tools - A Case Study ,"VSM, Work Standardization, Kaizen "," VSM  and Work Standardization used together, Kaizen events conducted "," Increased productivity, reduced cycle time, reduced work in progress time ", A medium scale gearbox manufacturing company in India ,India,Asia, Manufacturing ,medium scale gearbox ,2018," Productivity increased by 43%, cycle time reduced by 4.3%, work in progress time reduced by 10% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
